epithet_id|epithet|alternate_name|trade_designations|species|etymology|sex|reference_epithet|reference_breeders|reference_tests|awards|source_type|year_selected|Interspecific_hybrid|familiy_id|mother|father|origin_lat_long|origin_place|description|originator_breeder|registrant|nominator|introducer|keeper|nominator_desc|standard_herbarium |name_status|name_status_note|current_cultivation|checklist_record|contact_info
|‘Ester’|||S.||female |CPVO, EU39984||||2012||x||S. ‘Linnéa’ |S. miyabeana Seemen|||A female cultivar developed for bioenergy plantations by European Willow Breeding AB. It is a hybrid of S. ‘Linnéa’ and a clone of S. miyabeana Seemen; the cross was made in 2012 at Svalöv, Sweden, by S. Larsson (S. Larsson and B. Gertsson, pers. comm., January 2017). This is a high-yielding biomass cultivar. It is suitable for hot and dry climates and is resistant to leaf beetle, but is susceptible to elk and roe deer browsing. S. ‘Ester’ was granted PBR in March 2015 (CPVO, EU39984, owned by European Willow Breeding AB).|Stig Larsson |||European Willow Breeding AB||||Established|‘Ester’ was the accepted name for the PBR granted cultivar in the 2018 RHS HD.||||
|‘Bullata’|This epithet most likely corresponds to S. fragilis f. bullata Rehd. (1949); syn. S. fragilis var. bullata Spaeth (1906), S. fragilis var. sphaerica Hryniewiecki (1933); S. fragilis var. capitata Snarskis nom. inval. (1954). ||S. euxina I.V.Belyaeva (former S. fragilis auct., non L.)||male |Skvortsov, 1968, 1999; Shaburov, 1977;Krüssmann, 1984;  Kolkka, 2002||||||||||||This epithet most likely corresponds to S. fragilis f. bullata Rehd. (1949); syn. S. fragilis var. bullata Spaeth (1906), S. fragilis var. sphaerica Hryniewiecki (1933); S. fragilis var. capitata Snarskis nom. inval. (1954). A very attractive cultivar, which represents a mutation with a short trunk and dense spherical crown that appears to be trimmed (Skvortsov, 1968, 1999). Interestingly, its branchlets are all of thesame length and form very dense clusters which do not detach easily, unlike S. ×fragilis L. branchlets, which are loose, very fragile and more easily damaged by wind (T. Uronen, pers. comm., July 2015). It has been grown in the Baltic Countries since the late 18 century. The first documented record of this cultivar is a photograph of a 50-year-old tree without a description or a name, taken by Carl Buettner in Kurland (currently Latvia)  and published in Mitteilungen der Deutschen Dendrologischen Gessellschaft in 1915 (Kolkka, 2002). According to Skvortsov (1968, 1999), this cultivar was popular in Lithuania and was occasionally found in Poland, Latvia, and around St. Petersburg, Russia. It was also widespread in Finland and Sweden (Kolkka, 2002). According to Shaburov (1977), it was found only in cultivation and only male specimens were known.  Due to its relatively low height, this cultivar is a promising street tree that can be planted under utility wires. Shaburov provided recommendations on how to grow it in the nursery to get a tree with a well-developed trunk suitable for street planting rather than a multistemmed shrub-type specimen. According to Krüssmann (1984), who listed it as S. fragilis L. ‘Bullata’, this cultivar has a compact globose habit up to 6 m tall and 9 m wide. He stated that it originated in Sweden around 1785. However, Kolkka (2002) noted that based on its current distribution, this cultivar originated rather in Latvia or a nearby area. ‘Bullata’ was the preferred name in the LNWP 2016–2020 as S. ×fragilis L. ‘Bullata’. Salix fragilis var. bullata was listed as the accepted name in the 2018 RHS HD. ‘Bullata’ was sold by two North American nurseries (2018 PIO) and was found in trade in the Netherlands (2018 PS). ‘Bullata’ was most recently sold by one UK nursery in 2006 (2013 RHS PF). The previous references listed ‘Bullata’ as a cultivar of S. ×fragilis, which now belongs under S. euxina I.V.Belyaeva  (I.V.Belyaeva, pers. comm. 2015).||||||||Established|||||
|‘White Dutch’|||S. euxina I.V.Belyaeva (former S. fragilis auct., non L.)||male |Bean, 1981||||||||||||A male clone (as S. decipiens Hoffm.) which was sold in Britain for basket work and was known in Norfolk and Cambridgeshire as “white Welsh willow” (Bean, 1981).||||||||Established|||||
|‘Eva’|||S.|||National Plant Variety Board Gazette|CPVO grant No. 15235|||2005|||||||Sweden|No description for this cultivar was found. This epithet was registered by the Lantmännen ek för, Sweden, in 2005 (CPVO grant No. 15235) and published in the CPVO Gazette. Another record for ‘Eva’ was listed in the CPVO as registered by the Saxhytte Gård AB in 2000 (CPVO grant No. 1113) and published in the National Plant Variety Board Gazette.||||Lantmännen ek för||||Established|||||
|‘Greenbank’|A synonym of S. interior Rowlee ‘Greenbank’.||S. exigua Nutt.|||||||||||||||||||||||Not established|||||
|‘Multnomah’|USDA-GRIN accession PI 508553||S. exigua Nutt.|||http://www.ars-grin.gov/cgi-bin/npgs/acc/display.pl?1403489; accessed 18 April 2015||||1980|||||||US|A cultivar of S. exigua var. columbiana (Dorn) Dorn (as S. fluviatilis Nutt.) selected in 1980 from wild populations along the bank of the Sandy River, Multnomah County, Oregon, US, for superior growth rate and form (USDA-GRIN accession PI 508553). It was released by Corvallis Plant Material Center, Corvallis, Oregon, US. This cultivar was recommended for streambank stabilization. It was noted that the species was threatened in the lower Columbia River Valley drainage (http://www.ars-grin.gov/cgi-bin/npgs/acc/display.pl?1403489; accessed 18 April 2015). ||||||||Established|‘Multnomah’ was sold by one North American nursery (2014 PIO) (as S. melanopsis Nutt.).||||
|‘Silvar’|||S. exigua Nutt.|||Englert et al., 2000|||||||||||US|A cultivar selected by the USDA Natural Resources Conservation Service from wild populations in Columbia County, Washington, US (USDA-GRIN accession PI 573103).  It was released by the Pullman Plant Materials Center (Pullman, Washington, US) in 1993 (Englert et al., 2000).   ||||||||Established|||||
|‘Express’|||S.|||CPVO||||2008|||||||Hungary|No description for this cultivar was found. This epithet was listed in the CPVO as registered by Silvanus Csoport Kft., Hungary, in 2008 and published in the Gazette of Patents and Trademarks Official Journal of the Hungarian Patent Office.||Silvanus Csoport Kft.||||||Established|||||
|‘Fabius’|||S.||female |US PP No 17,946 issued in 2007||||1999||x||S. viminalis L. ‘SV2’ |S. miyabeana Seemen ‘SX67’||US|A fast-growing triploid female clone produced at the State University of New York, New York, US, in 1999 by crossing S. viminalis L. ‘SV2’ and S. miyabeana Seemen ‘SX67’. It was selected for high biomass yield and disease resistance. ‘Fabius’ is a sibling of S. ‘Tully Champion’, but is more resistant to potato leafhopper. This cultivar is suitable for bioenergy plantations, ornamental plantings, living snow fences and basketry. ‘Fabius’ was published in the Plant Patent US (US PP No 17,946 issued in 2007). https://cpb-us-e1.wpmucdn.com/blogs.cornell.edu/dist/5/4999/files/2015/05/Fabius-2015_10_18_v10-2io7325.pdf; accessed 1 October 2018).||||State University of New York, New York||||Established|||||
|‘Fantazija’|||S.|||2018 RHS HD||||||||||| |No description or published reference for this cultivar was found; therefore, this name was not established. ||||||||Not established|‘Fantazija’ was the tentatively accepted name in the 2018 RHS HD.  ||||
|‘Florsalbro’|||S.|||2018 RHS HD ||||||||||||No description or published reference for this cultivar was found. ‘Florsalbro’ was the accepted name for the PBR granted cultivar in the 2018 RHS HD where it was listed as a cultivar of S. × S. sylvestris.||||||||Established|||||
|‘Schick’|||S. foetida Schleich.|||LNWP 2016–2020||||||||||||No description for this cultivar was found. ||||||||Established|‘Schick’ was the preferred name in the LNWP 2016–2020.|‘Schick’ was found in trade in the Netherlands (2018 PS). |||
|‘Brownard’|||S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with light-brown stems ||||||||Established|||||
|‘Ferrinea’|||S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with light-brown stems (Stott, 2001).||||||||Established|||||
|‘Raebrook’|||S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with light-brown stems (Stott, 2001).||||||||Established|||||
|‘Red Root’|||S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with light-brown stems (Stott, 2001).||||||||Established|||||
|‘Schultze’|||S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with light-brown stems (Stott, 2001).||||||||Established|||||
|‘Stott’|||S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with light-brown stems (Stott, 2001).||||||||Established|||||
|‘Utilissima’|||S. ×forbiana Sm. (S. purpurea L. × S. viminalis L.)|||Stott, 2001||||||||||||A basket cultivar with light-brown stems (Stott, 2001).||||||||Established|||||
|‘Aelita’|||S. ×fragilis L. f. fragilis|||Tsarev, 2005|||||||||||Russia|A cultivar selected in Voronez, Russia, for high yield tannin production (Tsarev, 2005).  ||||||||Established|||||
|‘Glaucescens’|||S. ×fragilis L. f. fragilis||male |2018 RHS HD||||||||||||No description or published reference for this cultivar was found.  ||||||||Established|‘Glaucescens’ was the accepted name for a male cultivar in the 2018 RHS HD. |‘Glaucescens’ was sold by one nursery (2018 RHS PF). |||
|‘Godesberg’|||S. ×fragilis L. f. fragilis|||LNWP 2010–2015||||||||||||No description for this cultivar was found. ||||||||Established|No description for this cultivar was found. ||||
|‘Graucescens’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. alba L. × S. fragilis var. decipiens W.D.J.Koch (S. ×rubens Schrank)) with stems bright-green at the base and dark-red at the tips (Stott, 2001). ||||||||Established|Note: the epithet ‘Graucescens’ is possibly misspelled ‘Glaucescens’.||||
|‘Hutchinson's Brown’|||S. ×fragilis L. f. fragilis|||2018 RHS HD||||||||||||No description or published reference for this cultivar was found; therefore, this name was not established. ||||||||Not established|‘Hutchinson's Brown’ was the tentatively accepted name in the 2018 RHS HD. It was possibly a shortened name for ‘Hutchinsons Brown Bark’.|‘Hutchinson's Brown’ was most recently sold by one UK nursery in 2011 (2013 RHS PF). |||
|‘Hutchinson’s Brown Bark’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. ×rubens Schrank) with very dark-red stems (Stott, 2001).  ||||||||Established|||||
|‘Jaroslavna’|||S. ×fragilis L. f. fragilis|||Starova, 1980|||||||||||Russia|A cultivar selected in Russia for high biomass yield (Starova, 1980). ||||||||Established|||||
|‘Lanceolata’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. alba L. × S. fragilis var. decipiens W.D.J.Koch (S. ×rubens Schrank)) with stems green at the base and dull red at the tips (Stott, 2001).||||||||Established|Note: Because this cultivar name in the Latin form was established before 1 January 1959 and has been repeated within the denomination class Salix, but with different species, this epithet must be linked to the name of the species to which it applies (ICNCP, 2016, Art. 21.7).   ||||
|‘Lasipalatsi’|||S. ×fragilis L. f. fragilis|Etymology: The Lasipalatsi is the name of a notable building at Helsinki, Finland, that was built in 1935 on the site of the ruins of the Turku barracks, which had been constructed for the use of the Russian army. Rows of these trees were planted in 1833 alongside the barracks. The only tree from this historic planting that survived and was subsequently killed during a winter storm of 2003, was propagated under this name (http://www.kasvitkaupunginvaatteet.fi/lasipalatsi-willow; accessed 26 September 2018). ||Uronen, 2015|||||||||||Russia|An old Russian, semi-weeping clone cultivated in Finland (Uronen, 2015). Its branchlets and buds are brown. Because of its semi-pendulous habit it is possibly a cultivar of S. ×pendulina Wender. It could be more pendulous if it would not be so fragile: “after strong winds, one would use a pitch fork to clean the ground” (T. Uronen, pers. comm., July 2015).||||||||Established|||||
|‘Latungensis’|||S. ×fragilis L. f. fragilis|||Jonsell, 2000||||||||||||This cultivar has red-brown branchlets and buds in winter (Uronen, 2015). It was listed as “Uppsala Entity” in Flora Nordica (Jonsell, 2000). A basket cultivar of S. ×fragilis L. (as S. ×rubens Schrank ‘Latungiensis’) with stems that are green at the base and dark red at the tips (Stott, 2001). This clone was described as S. fragilis by Carl Linnaeus and later as S. fragilis var. furcata Ser. ex Gaudin. It was common in Sweden, but unknown in the UK as it was not mentioned by White (1890) (T. Uronen, pers. comm., July 2015).  ||||||||Established|||||
|‘Leerteen’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||Listed as a basket cultivar of S. ×fragilis L. (as S. fragilis) with pale straw stems and red/brown buds (Stott, 2001).||||||||Established|||||
|‘Legomey’|||S. ×fragilis L. f. fragilis|||2018 RHS HD||||||||||||No description or published reference for this cultivar was found; therefore, this name was not established. ||||||||Not established|‘Legomey’ was the tentatively accepted name in the 2018 RHS HD.|‘Legomey’ was most recently sold by one UK nursery in 2012 (2013 RHS PF). |||
|‘Lesa Ukrainy’|||S. ×fragilis L. f. fragilis|The cultivar name translates from Russian language as "Ukrainian Forests".||Starova, 1980|||||||||||Russia |A cultivar selected for high biomass yield in Russia (Starova, 1980). It is 7.2 m high and with a 17.3 cm trunk diameter after 4 years. ||||||||Established|||||
|‘Lesnaja Pesnja’| ||S. ×fragilis L. f. fragilis|The cultivar name translates from Russian language as "Forest Song".||Starova, 1980|||||||||||Russia |A cultivar selected for high biomass yield in Russia (Starova, 1980). It is 6.8 m high and with a 18.8 cm trunk diameter after 4 years (T. Uronen, pers. comm., July 2015). ||||||||Established|||||
|‘Maritima Grumph’|||S. ×fragilis L. f. fragilis|||LNWP 2010–2015 ||||||||||||No description for this cultivar was found. ‘Maritima Grumph’ was the preferred name in the LNWP 2010–2015 as a cultivar of S. ×rubens Schrank. ||||||||Established|||||
|‘Oeil Noir’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. fragilis) with pale-straw stems and red/brown buds (Stott, 2001).||||||||Established|||||
|‘Oeil Rouge’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. fragilis) with pale-straw stems and red/brown buds (Stott, 2001). ||||||||Established|||||
|‘Parsons’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis (as S. alba L. × S. fragilis var. decipiens W.D.J.Koch (S. ×rubens Schrank)) with dark red throughout stems (Stott, 2001).  ||||||||Established|‘Parsons’ was the tentatively accepted name in the 2018 RHS HD. |‘Parsons’ was sold by one UK nursery (2018 RHS PF).|||
|‘Pollard Crack Farndon’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. alba L. × S. fragilis L. (S. ×rubens Schrank)) with stems green at the base and red at the tips (Stott, 2001).  ||||||||Established|||||
|‘Red’|||S. ×fragilis L. f. fragilis|||RHS HD||||||||||||No description or published reference for this cultivar was found; therefore, this name was not established. ‘Red’ was the tentatively accepted name in the RHS HD. It is possible that ‘Red’ is a shortened name for ‘Redskins’.||||||||Not established|||||
|‘Regalis’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. alba L. × S. fragilis var. decipiens W.D.J.Koch (S. ×rubens Schrank)) with very dark, attractive, red stems (Stott, 2001). ||||||||Established|||||
|‘RO-921’|||S. ×fragilis L. f. fragilis|||2008–2011 Report of the National Poplar Commission of Romania|||||||||||Romania |No description for this cultivar was found. ‘RO-921’ was listed as a cultivar of S. ×fragilis L. (as S. alba L.× S. fragilis L.) selected in Romania in the 2008–2011 Report of the National Poplar Commission of Romania, which was submitted to the IPC FAO (it was listed as ‘Cornetu RO-921’ in the 2004–2007 Report of the National Poplar Commission of Romania).  ||||||||Established|||||
|‘Russelliana’|This epithet most likely corresponds to S. fragilis var. russelliana Koch. (1837); syn. S. russelliana Willdenow (1806), non Smith (1804). ||S. ×fragilis L. f. fragilis||female |Elwes and Henry, 1913; Bean, 1981; Meikle, 1984||||||||||||This is a remarkably vigorous female selection with long, straight slender branches, not angular at the insertion as in S. euxina I.V.Belyaeva. Leaves have silky pubescent undersides when young, later with scattered appressed hairs near the midrib on the underside (Elwes and Henry, 1913).  This clone has olive-brown branchlets and was selected for fast growth and excellent timber (Bean, 1981). According to Meikle (1984), it is a taller and more graceful tree with less brittle branches than S. ×fragilis L.  It was known as Bedford willow, or Duke of Bedford’s willow, or Leicestershire willow. Russell is the family name of the Dukes of Bedford. Note: Because this cultivar name in the Latin form was established before 1 January 1959 and has been repeated within the denomination class Salix, but with different species, this epithet must be linked to the name of the species to which it applies (ICNCP, 2016, Art. 21.7). ||||||||Established|||||
|‘R2003/7’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. alba L. × S. fragilis L. (S. ×rubens Schrank)) with stems green at the base and red at the tips (Stott, 2001). ||||||||Established|||||
|‘St Reine’|||S. ×fragilis L. f. fragilis|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. alba L. × S. fragilis L. (S. ×rubens Schrank)), with stems green at the base and dark red at the tips (Stott, 2001). ||||||||Established|||||
|‘Aurea’|This cultivar name possibly corresponds to the epithet S. vitellina var. aurea Lunell (1916) – an invalidly published name, without a description. ||S. ×fragilis f. vitellina (L.) I.V. Belyaeva||female |Krüssmann, 1984; Newsholme, 1992||||||||||||This cultivar name possibly corresponds to the epithet S. vitellina var. aurea Lunell (1916) – an invalidly published name, without a description. This selection is less vigorous than other S. ×fragilis L. cultivars. Branches are yellowish green and leaves are yellowish (Krüssmann, 1984). Leaves are lime green at first, changing to bright-gold at maturity (Newsholme, 1992). A herbarium specimen of this cultivar at WSY is a female clone. ||||||||Established|‘Aurea’ was the preferred name as a cultivar of S. alba L. in the LNWP 2016–2020 and the accepted name for a female cultivar in the 2018 RHS HD.  Note: Because this cultivar name in the Latin form was established before 1 January 1959 and has been repeated within the denomination class Salix, but with different species, this epithet must be linked to the name of the species to which it applies (ICNCP, 2016, Art. 21.7). The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Aurea’ as a cultivar of S. alba, which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018).|It was sold by one North American nursery (2018 PIO) and one UK nursery (2018 RHS PF) and was found in trade in the Netherlands (PS). |||
|‘Basfordiana’ |syn. S. basfordiana Scaling ex S.J.Salter (1882), S. ×rubens  nothovar. basfordiana f. basfordiana (Scaling ex S.J.Salter) Meikle (1985), S. ×rubens  nothovar. basfordiana (Scaling ex S.J.Salter) Meikle (1985), S. × ‘Basfordiana’||S. ×fragilis f. vitellina (L.) I.V. Belyaeva||polyclonal|Salter, 1882; Bean 1981; Meikle 1984;  ||||||||||||This cultivar is represented by numerous clones, some of which have received their own names. Bean (1981) described this cultivar as a vigorous male plant with polished orange-yellow stems. Leaves are finely serrated, glabrous, bright-green. Catkins are drooping, 6–10 cm long, appearing with the leaves. When it is pruned in spring, its stem color is even brighter than that of S. ×fragilis f. vitellina (L.) I.V. Belyaeva. This cultivar was selected by the basket maker and willow grower William Scaling of Basford, Nottinghamshire, UK, during the 1860s, named S. basfordiana Scaling ex S.J.Salter, and described under the same name by James Salter in 1882 (Salter, 1882). According to Meikle (1984), there are male and female clones of this cultivar. It can be distinguished from ‘Vitellina’, with which it is often confused, by its lustrous leaves and long pendulous catkins. Krüssmann (1984) listed it as S. × ‘Basfordiana’ and stated that this cultivar is a descendant of S. ×rubens  Schrank, which was discovered in the Arden district of England around 1863. It is widely planted today as a basket selection with stems yellow at the base, orange in the middle and bright red at the tips (Stott, 2001). ||||||||Established|‘Basfordiana’ was the preferred name in the LNWP 2016–2020 for a cultivar of S. ×rubens Schrank and the accepted name for a male cultivar in the 2018 RHS HD. Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Basfordiana’ as a cultivar of S. ×fragilis L., which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018).| It was sold by four UK nurseries (2018 RHS PF).|||
|‘Basfordiana Farndon’|||S. ×fragilis f. vitellina (L.) I.V. Belyaeva|||Stott, 2001||||||||||||A basket selection of ‘Basfordiana’ (listed as S. alba [unranked] vitellina × S. ×fragilis L. (S. × basfordiana)) with stems yellow at the base, orange in the middle, and bright red at the tips (Stott, 2001). ||||||||Established|Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Basfordiana Farndon’ as a cultivar of S. ×fragilis L., which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018).||||
|‘Belgian Red’|||S. ×fragilis f. vitellina (L.) I.V. Belyaeva||male |Bean, 1981||||||||||||This epithet was listed by Bean (1981) as a recent name for a male clone of S. euxina I.V.Belyaeva (as S. decipiens Hoffm.) grown in Britain for basket work and known in Norfolk and Cambridgeshire as “white Welsh willow”. According to the Bluestem Nursery, British Columbia, Canada,  on-line catalog  (http://www.bluestem.ca/salix-fragilis-belgium-red.htm; accessed 26 September 2018) it has “saturated red new growth” and “beautiful deep red stem color for the winter garden”.||||||||Established|Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Belgian Red’ as a cultivar of S. ×fragilis L., which, as other cultivars with yellow-red stems (Belyaeva et al., 2018), now belongs under S. ×fragilis f. vitellina I.V.Belyaeva. ‘Belgian Red’ was sold by two North American nurseries (2018 PIO).||||
|‘Blutweide’|||S. ×fragilis f. vitellina (L.) I.V. Belyaeva|||Stott, 2001||||||||||||A basket cultivar with stems yellow at the base and dark red at the tips (Stott, 2001).||||||||Established|Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Blutweide’ as a cultivar of S. ×fragilis L., which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018). ||||
|‘Bouton Aigu’|||S. ×fragilis f. vitellina (L.) I.V. Belyaeva|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis L. (as S. ×rubens Schrank) with dark red stems (Stott, 2001). ||||||||Established|The tentatively accepted name in the 2018 RHS HD. Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Bouton Aigu’ as a cultivar of S. ×fragilis L., which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018). |‘Bouton Aigu’ was sold by one UK nursery (2018 RHS PF). |||
|‘Bouton Plat’|||S. ×fragilis f. vitellina (L.) I.V. Belyaeva|||Stott, 2001||||||||||||A basket cultivar of S. ×fragilis (as S. ×rubens Schrank) with dark-red stems (Stott, 2001). ||||||||Established|Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Bouton Plat’ as a cultivar of S. ×fragilis L., which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018). ||||
|‘Britzensis’ |syn. S. vitellina L. [infrasp.unranked] britzensis Späth (1883), S. vitellina f. britzensis (Späth) C.K. Schneid. (1904)||S. ×fragilis f. vitellina (L.) I.V. Belyaeva||male |Späth, 1930; Bean, 1981; ||||before 1851||||||||A male cultivar (Späth, 1930). This red-stemmed cultivar was frequently mistakenly listed as a synonym of ‘Chermesina’, which has carmine red stems and was discovered near Braunschweig, Germany, before 1851. ‘Britzensis’ was raised from seed by Späth at Britz near Berlin, Germany, and introduced into commerce in 1878 (Bean, 1981). According to the 2017 online catalogue of the Vermont Willow Nursery, Vermont, USA, it is a narrow, upright, relatively small tree with red stems even in summer, and has the reddest young stems of all willows sold in this nursery. Vermont Willow Nursery listed the Montreal Botanic Garden as the source of a mature pollarded specimen of this cultivar. ||||||||Established|‘Britzensis’ was the accepted name in the 2018 RHS HD where it was listed as a cultivar of S. alba L. var. vitellina (L.) Stokes.  Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Britzensis’ as a cultivar of S. ×fragilis L., which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018).|‘Britzensis’ was sold by four North American nurseries as S. alba L. ‘Britzensis’ (2018 PIO) and by 32 UK nurseries as a cultivar of S. alba L. var. vitellina (2018 RHS PF).|||
|‘Cardinal’ |syn. S. cardinalis Veitch, nom. inval. S. alba L. ‘Cardinalis’, S. alba ‘Cardinal’||S. ×fragilis f. vitellina (L.) I.V. Belyaeva||female |Elwes and Henry, 1913; Bean, 1981; Meikle, 1984; Stott, 2001||||||||||||Elwes and Henry (1913) described S. cardinalis Veitch as a synonym of S. decipiens, cultivated in Belgium for basketry and producing remarkable crimson stems when cut; when originally imported, it was called “Belgian red willow.” A female clone, S. alba ‘Cardinal’, was described by Bean (1981) as having stems the color of ‘Britzensis’, but with narrower leaves and of a different sex (‘Britzensis’ is a male clone). It has been in cultivation since the 1880s as “cardinal willow.” According to Meikle (1984), this name was usually applied to red-barked forms of S. ×fragilis f. vitellina (listed as S. alba var. vitellina (L.) Stokes), or its hybrids with S. euxina I.V.Belyaeva (listed as S. fragilis auct., non L.). A basket selection with stems yellow at the base, orange in the middle and scarlet at the stem tips (listed as a selection of S. alba ‘Chermesina’) (Stott, 2001). ||||||||Established|‘Cardinalis’ was the accepted name for a female cultivar as S. alba L. ‘Cardinalis’ in the 2018 RHS HD.  Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Cardinalis’ as a cultivar of S. ×fragilis L., which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018).|‘Cardinalis’ was sold by one UK nursery (2018 RHS PF).|||
|‘Chermesina’|An epithet that most likely corresponds to S. alba f. chermesina (Hartig) Rehder (1949); syn. S. alba var. chermesina Hartig (1840). ||S. ×fragilis f. vitellina (L.) I.V. Belyaeva|||Bean, 1981||||before 1851||||||||This cultivar has carmine red stems and was discovered near Braunschweig, Germany, before 1851 (Bean, 1981). Several clonal selections of this cultivar have been brought into commercial trade (e.g. ‘Yelverton’, ‘Vitellina Nova’). ||||||||Established|‘Chermesina’ was the preferred name in the LNWP 2016–2020 as a cultivar of S. alba L. Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Chermesina’ as a cultivar of S. ×fragilis L., which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018).|‘Chermesina’ was sold by two North American nurseries (2018 PIO) and was found in trade in the Netherlands (2018 PS).  |||
|‘Chrysostela’ |syn. S. ×chrysostella Dode (1930)||S. ×fragilis f. vitellina (L.) I.V. Belyaeva||male |Bean, 1981; Smith et al., 1978; Santamour and McCray Batzli, 1990; Thomas, 1992||||||||||||An upright tree of paintbrush shape. The name means “column of gold,” referring to the color of young stems that are similar to S. ‘Vitellina’, but red-orange at the tips (Thomas, 1992). This is a male cultivar with a narrow crown and fastigiate habit much like Lombardy poplar, originally described by the French dendrologist Dode (Bean, 1981). A cultivar under this name was introduced to the US as an upright cultivar with coral red branches (specimen No. 13652 in the Plant Material Center, Beltsville, Maryland, US), but this clone was found to be female (Smith et al., 1978; Santamour and McCray Batzli, 1990). ||||||||Established|Note: The first edition of the Checklist for Cultivars of Salix L.  (willow) (Kuzovkina, 2015) listed ‘Chrysostela’ as a cultivar of S. ×fragilis L., which now belongs under S. ×fragilis f. vitellina I.V.Belyaeva (Belyaeva et al., 2018).||||
|‘Concolor’|||S. ×fragilis f. vitellina (L.) I.V. Belyaeva|||2018 RHS HD||||||||||||No description or published reference for this cultivar was found; therefore, this name was not established. ||||||||Not established|‘Concolor’ was the tentatively accepted name for a cultivar of S. alba L. var. vitellina (L.) Stokes in the 2018 RHS HD.  ||||
|CORAL SNAP™|This name was listed as a trademark name for a hybrid of S. alba L. ‘Britzensis’ by Advanced Tree Technology (Indiana, US). ||S. ×fragilis f. vitellina (L.) I.V. Belyaeva|||||||||||||||This name was listed as a trademark name for a hybrid of S. alba L. ‘Britzensis’ by Advanced Tree Technology (Indiana, US). This is a seedless, densely branched selection from the company’s trials, recommended for windbreaks and screens. It is a fast-growing plant to 6 m tall and 3.7 m wide with yellow orange red stems in late summer through winter. Leaf drop occurs late in the season. (https://advancedtree.com/index.php/coral-snap; accessed 26 September 2018). ||||||||Not established|Note: CORAL SNAP™ was recorded as only having a trade designation and no accepted cultivar name. |CORAL SNAP™ was sold by one North American nursery (2018 PIO). |||
